OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV759	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV760	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	
ASV761	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Stolonocarpus	gigasporus
ASV762	Fungi	Ascomycota					
ASV763	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	
ASV764	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	globosum
ASV765	Fungi	Ascomycota					
ASV766	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae		
ASV767	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Nigrograna	
ASV768	Fungi	Ascomycota					
ASV769	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	prosopidis
ASV770	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	globosum
ASV771	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Claudopus	
ASV772	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	communis
ASV773	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
ASV774	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Porocercospora	seminalis
ASV775	Fungi	Rozellomycota					
ASV776	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV777	Fungi	Ascomycota					
ASV778	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae		
ASV779	Fungi	Ascomycota	Dothideomycetes				
ASV780	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	alpha
