ID,Treatment,IND,abuabu,abuinc,acacal,ambcon,ariads,ayefil,boedif,boecoc,bouari,boubar,bricpal,buljun,carari,cencil,chanic,chlvir,comcoe,dicres,datdis,encfar,evoals,euperi,eupflo,eralem,eupped,funcyn,galapa,ibeson,ipohed,ipolep,jatcar,lopsch,lycber,mammic,mimdis,olntes,opuful,oputhu,phaspi,panhir,parpre,phocal,porole,porpil,provel,sespor,setmac,sidrho,steala,talpan,stethu,tidlan,zizobt,bare_soil
NPV3,NPAR-B,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
NPV4,NPAR-B,4,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
NPV5,NPAR-B,5,0,0,0,0,0,0,0,0,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
NM1,NPRO-B,1,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
NM2,NPRO-B,2,0,0,0,0,0.25,0,0,0,0.05,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
NM3,NPRO-B,3,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
NM4,NPRO-B,4,0,0,0,0,0,0,0,0,0.75,0.99,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM5,NPRO-B,5,0,0,0,0,0,0,0,0,0.5,0.99,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
NPF1,NOLN-B,1,0.05,0,0,0,0,0,0,0,0.05,0.75,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPF2,NOLN-B,2,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
NPF3,NOLN-B,3,0,0,0,0,0.5,0,0,0,0,0.99,0,0,0,0,0,0.25,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.05,0,0,0,0,0,0,0,0.25,0,0,0,0,0.05,0,0,0,0,0,0,0
NPF4,NOLN-B,4,0.05,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0.5,0,0,0,0,0
NPF5,NOLN-B,5,0,0,0,0,0,0,0,0,0.25,0.99,0.25,0,0.5,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
